1971;4a9e
1c51;6cc8
1cbd;fbd9
1b72;e4c3
02e4;d346
1e1e;41ca
142c;6c7d
0a1e;ba80
0077;ce0c
1aa5;f0a4
0bdc;c949
115d;b3c0
149c;55a0
1669;1368
0dbe;8ddc
1a0c;7497
1a9e;e300
1d2e;6d8a
1d79;ce26
1d9f;6594
1c1a;fac7
18c1;7859
13b7;6485
038b;872f
1a51;18c0
043f;f590
0f74;b3f2
1303;15d7
11e0;7efa
1268;191c
0aeb;4ceb
1dd0;3e0a
0e04;73f9
0dcb;15b5
0b55;b0cc
17a9;498c
1e3a;bf84
084b;11f0
1fab;d7cb
1de5;08c8
0e05;ce11
0ae0;813a
086c;b710
17b0;e183
087e;1f0c
1b57;5022
1caf;f761
122c;48b4
0f57;553c
0170;0eab
1d62;b9b4
1b1b;0f21
178b;e2c5
04a1;8dc3
06b4;c4a8
0400;a318
0e67;f971
1361;eed1
11a5;9b76
1572;e23f
055e;5768
0eb0;3b22
187b;2d07
1c37;5fc8
1362;9cb0
045e;967e
1cd0;91b4
18ef;1599
1c1b;f971
16b9;cad2
1e65;5239
0996;b907
07f2;1d81
1eb1;0444
09bb;c866
0984;4078
1710;dda8
0a5f;308e
124c;382d
18d4;5d04
16e7;d9ef
0bf5;6e8b
1b38;7c95
105e;d07f
0883;bc1d
0ef9;9177
19e7;c6a9
1286;a3e5
08db;6d8f
157c;962c
1778;5846
0d6e;781c
1da9;5343
0c71;1fd3
16da;b669
1f19;d098
1cdd;edbf
1252;e9ba
0b40;869f
130a;2a2d
0b77;d45d
020b;68a8
0221;5f18
05a1;aa24
172a;49d5
0d33;7aaf
084e;7954
1540;7940
0af9;34f8
0678;1b82
169b;860c
145c;2dbb
13ef;1a10
0bb4;9612
0034;3e98
0eea;74c0
04c7;96c1
1686;23d0
14dc;750e
1a08;13e4
1a23;0caf
0c25;df81
1e81;ada7
17b9;1bef
1096;de7c
1399;8110
11c1;a89b
0ddc;ab14
03b0;9356
0b38;d6c8
02fd;1bf3
195f;3a6a
05ea;3177
096a;235b
19b1;7725
1de2;a952
19d8;c611
123a;0065
0c75;4625
0f91;bf01
1bbd;86f1
14d4;0152
0e96;79b3
0dfe;7789
1368;6931
101a;c8c3
05a2;0b8c
1d77;63ce
0f13;f71d
07bc;a7f8
1aa9;8499
08c4;db53
1dde;b230
1f1d;04ac
199f;db77
0fbf;67e9
1e00;a804
05c3;9e87
07f0;5e7a
1838;c223
185b;7992
0899;2673
1770;78e1
0880;64f2
1a6a;b18a
0eab;22c2
00d7;fc8d
1f9e;2c4f
1914;ac49
1629;d2d0
0541;debf
0689;fe20
104a;1e66
00d2;4696
157f;91db
112e;9ff3
1642;7ba6
16a1;06fa
1010;ea2d
06aa;59ec
1d20;6b82
190f;d292
1652;2f5b
0a19;80be
1a63;68d8
16c6;2ff6
0814;35ff
1ee5;f3d1
1bc0;00ec
0397;89d1
1d2a;e7af
0b6c;9a5f
0ba0;7bb9
04fe;958c
05af;b521
17e1;f687
1257;b60d
0b82;c250
1821;21dc
07e0;225c
00d0;437a
11b9;5a9b
09ab;bd62
0faa;9a3b
1aab;167e
06f9;1f7a
04d9;dcfa
0224;90b0
1114;d1f8
0be5;a1df
0bf8;a19b
147f;bdd8
19cd;e819
0ffa;b936
00b0;3b48
07a8;fb49
062b;a1de
1120;b41b
0bec;6c47
19c3;aaa5
12b6;bb4e
08d6;8eaa
11de;364b
0028;8c9c
17d9;71ce
1e6d;af90
0f82;dbc8
10e3;18c9
1d71;0d20
0c76;5a44
08a6;9209
19b4;bde7
0033;a1b5
0335;3f5b
0af2;2f5c
0d59;8a3c
0dd4;c199
1945;ea73
0181;c5d1
09a0;d800
00a5;5de4
1af5;7d5c
106f;0085
00a1;f5b4
1b36;fe4e
0711;b7e6
15ef;f88a
03ce;de85
1094;b09d
1531;68a4
0dfb;0a02
1e0c;142b
0fb1;efc4
06e6;1f87
1c62;9555
1da5;1def
12bc;c4c6
15ea;4a6f
14b5;f5ed
0806;a5d3
1a5b;3bde
0ba4;d64d
0502;e4a2
1a90;e7f4
025c;f185
060d;a035
09d6;2d8d
0a13;24cd
1830;bb56
1c8e;715e
1958;99af
1816;0dac
0a23;f5d1
1530;3582
115c;c13f
1e2f;cb18
0ce9;25d6
0964;b4c2
1977;b59a
0a47;daef
1ce8;9596
1fa7;6ff1
09c2;a045
10b6;1c77
044d;4ec9
07ed;0f28
0343;a3f5
1d25;1be8
0860;04ab
0fb9;577c
0419;e59c
085f;82f1
0d24;f982
02a6;2845
1c45;0d59
1d3c;cb78
0cc1;5660
171b;f0cd
192b;f1cf
08a8;89fe
1614;871a
0b70;e03b
0ec6;2b50
1eb3;80f2
0383;540a
0ee6;43f4
1320;cf6e
1343;b780
04b5;3f25
1e91;fa89
1a19;259f
0e98;69fb
1a7a;2dc9
045a;2e85
18f1;674c
103b;8151
08ea;eac0
016e;dca1
1843;4b87
1212;bf67
1a92;7db3
1f9b;a257
1c9a;83f9
054e;4273
1fcb;bf94
0593;a099
114a;ce83
1829;1d7a
1a7f;620e
01bb;9488
10b0;8c3f
079f;97bb
149a;52d0
1baf;943e
0fbb;6191
0a61;df24
075b;67c2
0c81;5dd8
149f;fb78
06bf;1e4b
0352;adbd
1340;5053
0622;3c54
13f5;ccbc
1b12;60ea
0873;2096
1ba8;2da5
022c;ab80
0740;8100
1b29;0484
05a6;4d9f
1123;7dd1
1ab8;bf4f
0e27;8f14
0963;faa0
0f85;c7d5
16a9;f96a
0f59;e30d
025a;88d1
1d5a;5fa7
112f;13ea
1720;172e
1810;79b9
15f7;9568
1803;7a8c
0e97;3d4e
03ee;fafb
1185;5c8a
1c63;b535
17fd;159d
05e5;354b
1ed0;c3e1
0a8d;4512
0560;b667
0185;176a
0e71;6f06
0d1e;8a4c
1787;1d4d
0310;6e34
0786;ae6f
0854;ae71
0ba1;8a8c
196b;6ec6
06cb;ece7
1e1b;4b23
0361;9b93
02a0;a21b
142d;0420
1939;a37b
127e;80bf
10f9;a683
1308;6f46
0673;36b4
1969;41fd
0314;9567
00eb;4b40
002f;d23a
0510;4d7e
15c7;f9ec
01e8;6a1d
079d;5832
0064;638d
0803;7d90
08f6;6288
0c02;2421
0e16;6f58
11e5;69b5
141b;6cae
0578;72ca
160a;73c8
1fd4;c485
10a1;f8b9
0ac2;c403
09e4;9293
0adf;bdbd
0402;8245
16f2;9c91
1a47;5ba2
0f50;3924
0c83;0dea
18d8;e2a7
10f5;f2a8
002c;3a8b
0da8;809a
1921;52d2
143b;9a12
0a6a;90f0
0e68;4423
0412;c435
1689;3286
0a22;1f0b
03db;f557
047b;400c
1bee;ebc0
1651;aa71
1f94;3613
0846;c483
0b5e;67f5
15f5;4569
150c;9180
01d7;608a
0d85;189d
0891;b4e1
0a17;42bd
1294;e3c3
0e78;63e6
18c9;811e
0451;3e6b
175a;1e98
095e;2be5
1930;fb05
088d;f8d7
1e94;1b92
0952;a122
1a4b;7a63
0f60;e261
1d91;84fc
1fcc;2398
18d3;2df4
12c0;e602
1b5c;4df9
17ac;8771
0627;dccb
0d6c;dd0f
187e;0598
0a86;9213
02d3;3332
1aeb;62cf
0564;3a08
1bd8;574c
068e;bd40
0ffb;38b0
16aa;3ef8
179f;08e7
0045;e2e1
0c23;94a0
1c4d;357f
1885;d7e9
1172;5bd8
1670;2431
0e38;c5b1
0bcd;a66d
1887;2340
08ec;8ccb
1d57;029e
0ae4;4e49
0f89;91fa
1c0a;daea
0468;0cc5
0146;a498
0c9f;a677
0c59;700b
194a;e93a
04c0;2079
1f54;4280
10f8;9fe5
12e7;d0b9
0a79;039b
1abd;4e90
1038;9cd0
1289;3e9a
07f3;02c2
17ca;bfd9
07ff;a03d
08bf;fb0c
1bd0;acb4
0f5d;4aee
1929;a44e
107d;6e27
1d8d;835a
1b86;0d6d
10bb;6fd1
0f1b;1433
02ae;72c2
1051;4de9
14ad;aa89
05e4;fe37
0271;8488
0de8;5f72
1347;59b6
01cc;2424
1895;1e27
10d2;23b9
0b5a;a359
129b;763e
1c53;1cf2
032d;124b
1219;89b1
0e0a;6f64
0545;cceb
0c3a;6b04
0164;ed1d
0a10;35a7
11fa;f671
06dc;8249
0440;d228
140f;55ab
1acd;5c6b
07ae;b98e
04a4;ce2d
0d38;b591
1fce;d65a
05eb;5f7e
104d;8f2c
1171;c2ee
18b8;b4af
0a33;088a
0b94;689a
1f62;2fbd
1358;1f9e
1775;752c
1624;28b2
02bc;2056
02a3;b41d
05a0;70b2
167e;197b
03bd;1d5f
0c22;ed95
19fe;0670
1d04;e661
0ecc;3f36
0728;3912
0665;4608
1162;83d9
146f;c006
1590;7513
1e31;8289
137d;940d
18b0;3b0c
1ad6;d2d5
0116;5078
18eb;5756
16fe;e3cf
17f6;7898
097a;e7bc
11f2;9985
021c;764a
0adb;d694
057c;dfce
1ec6;deb8
0d40;5013
0b75;2937
189a;3d9e
00af;6292
18d9;d8b4
1dae;83c7
1472;1c7e
117e;4133
179a;b952
1214;a579
1194;64ae
0226;01e8
0030;8f51
0efc;7610
1ca5;a198
1b5b;bb57
021f;3bc7
094a;1070
0ee5;8204
118d;e4df
01b9;ad67
1402;5857
033d;66a7
0c6f;cb97
1677;9806
0582;172e
0de4;b3e0
1d02;1629
09b0;8a60
0812;2e5e
19ab;7a3a
1779;a359
0eb8;b405
1cef;14a2
1a22;9b4a
0dd0;cff1
0042;5ae9
0ba5;4585
0dab;2404
1bfa;dfc4
17e3;d294
0981;43e0
0ad0;c45e
072e;370c
1c41;93e5
041e;1873
18bb;3eb7
0826;46ab
17d6;8848
0788;365f
0a64;d73d
0d00;d09e
0ed0;5ec1
1e60;0a5c
02da;faa7
1255;15e5
0602;3b07
0ace;1b6b
05a4;9388
1ae8;48b6
048a;bf86
151b;9f56
1840;c418
0919;a2f0
1b4f;2be8
1424;0408
0588;9db8
184c;840a
17a8;0168
1694;81ff
0509;5a33
0b08;95b5
0d72;ec33
15bf;4fac
0a04;0313
1940;24cc
123f;11a7
1d3e;fbf0
0183;07ab
03b9;432d
1a67;79fe
14fb;c1b7
10c8;d6c0
0d99;cd14
0975;9e08
0036;d98d
1932;a117
027d;c516
1e6a;13b8
15d6;96c4
16bc;28d7
057b;5f4c
0ca0;6943
180c;9b74
1602;3ec3
0d2a;61db
1b83;4a49
0ed9;792f
06fe;713d
04e2;b861
1a4f;937e
0e01;a7ad
19a9;026a
1b94;6f0a
1603;97a0
0e4d;de3c
1f13;0e87
0628;97fe
178d;0cea
1f07;3e65
11ec;1202
0982;6bcf
0ea0;69d8
19a6;64a5
0490;a8c2
1cae;dda6
14f1;efd1
12e2;574e
1f42;04ae
1d86;2d4a
14c7;87ca
0374;bc76
1543;0495
12d6;eaed
1271;c8fe
13cd;2b7f
15a5;d3f4
081b;ddc0
04f9;4e38
053a;8ecd
1904;bbc5
1923;2ca6
0705;5a15
1e04;ac67
0b9e;c504
19d9;36af
19f2;d9e3
1b03;f1ce
01a8;8cf2
1cd7;3592
0b32;6ba6
1f4c;657f
06c7;9c43
1a58;9143
1de4;c8f0
0fe3;5b1d
13bd;0900
1eaa;5e37
152e;f787
07e7;e700
0d7e;58bd
163b;d2dd
0635;2897
1587;0166
16d5;ddc8
0568;c67b
06a3;3537
0114;ec08
188c;df98
0f49;41fa
01dd;77e6
1a24;ca92
069c;b961
04ee;0e14
1988;0fa9
03d5;c0f2
0108;76f0
1d4c;7047
113a;87e3
01da;ec11
114f;3e38
077d;7d1d
0202;707e
0623;0d81
150f;5624
10fe;9fc0
0319;162f
1460;0b2f
13bf;10ae
0486;eb6e
08aa;6dbe
0e2f;5a27
0884;0b31
03a5;1074
04cc;5a79
070f;2147
1b1f;c4c0
1cf7;1133
1f89;4b81
0794;22c9
1966;0418
0504;f0b4
14df;e0c4
010f;83e2
10cf;843e
0dbd;dc1d
12cb;ee87
08e4;36e6
0530;8556
10eb;d53b
0230;08e4
071c;9e14
19a7;8969
0dff;d778
196a;d6be
15ac;8aed
0640;7a6d
01f6;954f
1c58;d918
1412;9920
18a8;cf59
0d14;9974
0e8f;34b1
01e3;a86e
16f6;9a1d
0220;1ff5
1cf1;4bd5
0e31;69ff
1367;f34a
12de;d94a
189d;0b21
10e4;0c5e
0a34;5c48
00ef;999d
11eb;ab28
0b5d;fcf0
0330;c464
0dc6;e752
1394;2548
11bf;fafe
0466;9422
14c0;5f18
1abe;57d6
0127;0327
0762;7a7f
0c6c;2fd9
09cb;c97b
050f;3d92
0729;d3f0
0730;b003
126c;cd88
027e;ddfb
0f10;071c
043c;e11a
1cea;5c78
03e5;bbb7
017f;01ec
06f3;04e3
0b04;eec5
0b7c;aa4c
1afb;f725
0315;9930
1184;9ddf
012c;5789
0e54;00e5
06ff;56fb
08e1;4974
0e28;60f2
0ccc;cf54
1089;1d6b
1d63;b6c2
115f;fce6
1aff;3fe9
173f;e0c3
1a94;2303
1a9c;8c8c
1d3a;1e5b
11a7;734f
11cb;cf73
01b5;9abf
01c9;6335
06ee;89d6
1f48;b115
1b68;783e
0865;9a66
06c8;d1d2
0f1c;b3cf
136f;fc14
166f;d774
14e2;a027
0797;9d19
08f7;1084
00bd;3019
070b;a48d
1cdc;6216
0915;3401
0d2c;79dd
0643;f880
17af;f5ab
0010;dd80
0e37;8c27
1ef5;341a
0416;0187
0af1;eaa4
17ea;3d1b
010b;a648
00f2;64eb
10dd;5989
0ec4;d16c
0e64;8f9a
1bea;13ff
1a1a;c62d
1ea5;8ea6
1674;9f00
1ef0;778f
1767;57a5
1457;cbe3
1fb0;d473
135f;6ce3
0387;4fad
08ef;18d4
124d;611f
1a37;e30c
024c;853c
12a4;8a48
1eb2;978c
1115;7acc
06d7;6a7e
06da;2b4b
00a4;cb34
0c74;10c1
0cf4;950b
02e1;0e5a
1a59;ead7
0d1f;46ff
127f;ed7c
0193;3bdd
0a3c;efb4
07bd;0964
000a;610a
13b1;0eeb
1873;31b1
0274;7737
051a;f737
1954;9b8b
1417;d240
1c4b;4806
19c4;42f8
18a1;68b0
15ff;219c
091f;8053
14c4;d4c7
1e7c;a1c7
179d;c357
18e9;7c26
012b;0999
1150;8a2e
1e66;ae1c
0994;2dbe
0c27;73ff
0090;57e8
14af;27c2
0810;fdfa
1afa;8122
1fe5;6cc2
0ab5;aa6a
0bbf;3c87
15f3;b186
05b8;b59a
1458;0a59
15b0;ce66
18e8;6cd4
0d81;7074
1c0f;11f4
0d8a;0d7b
06d5;d495
139d;f793
18c6;a5ba
053b;174e
120c;6786
1280;7cd1
0650;b8c7
0158;aefc
0db6;f04c
0787;4c7c
04b6;a4ea
1852;7cc1
0f6d;eaa5
14d5;6de2
014e;a4d3
0b8b;8df5
1151;1ff8
1d9e;e0a2
1d41;75f3
09ea;5733
054c;db6c
159a;04b8
1fbb;ac28
1b28;4c80
1b52;abbf
0297;6deb
1160;de96
1a78;ade9
0338;5bdd
10f0;299f
1c6b;694a
0922;292a
0713;3483
0985;524f
101f;86b5
0d7f;a6a5
1947;d320
01e9;d672
1a16;c38f
1869;3daf
19c8;1847
0148;8a97
0a78;33a9
137a;4fbe
0672;a47c
1318;8965
11ea;c460
0eac;579b
11cd;7912
085d;e64a
11b7;9d14
157e;15c1
0792;1f36
0a1a;a307
1df6;e157
0d60;33a6
0efe;897d
0254;ce29
0cdc;0802
1fe9;3620
13a6;0219
1de1;94b8
08e3;62c3
0eeb;6558
0444;9eaf
03b2;d943
0a46;8152
0726;86cc
1334;0afd
12a2;7f68
0bfa;4dfc
1e75;7247
17a3;889e
1d6f;361a
07de;eb5b
0323;54b7
1489;0257
1d4f;07e4
03b6;abdc
1917;32c9
11e6;a8cc
1b70;d2b4
0b7f;08d8
07c7;0ed9
190b;9120
0d45;71c5
0b1f;5739
1e6b;57ec
1279;fca7
0f26;4404
1d59;7ff1
1002;d099
1dbf;a67c
1102;e45d
0404;7cf6
1297;6f34
017c;1484
17fb;f5f2
1302;0f69
1e7f;9484
1095;77ae
05cf;df51
1173;afc1
1501;e166
1596;3733
05c8;54df
0d8d;f5ea
01d6;638e
10b8;3229
1883;86be
1f3d;a930
1ed7;2c1e
15dc;b07f
1b33;6656
1f0b;e5f3
0565;6150
0d88;f97a
1be8;0421
08e9;8fe9
0902;1ee7
1c36;25ab
0af7;7b7d
1fb8;fcb6
0e79;f650
026b;c229
0529;220c
07d1;8df2
0b69;3bf8
1b64;5ac6
1bc9;b581
1795;623b
1a56;bb80
19f3;a6db
122d;887c
11fb;04b2
0434;477b
01d3;8d45
01ab;3875
0556;d9b1
0e1e;2770
04b2;2b5e
094b;1691
14b7;e8c9
040a;40cc
00c9;f26f
0715;9f06
0773;f96f
0ecb;0791
1345;0ddf
06af;3ac9
0d58;b1fa
16a4;02ae
0c4e;1da5
0157;5f96
0e86;18fc
1749;efd2
12c8;bd0e
03bb;54bb
0920;2a38
1c5b;bcb7
080f;0a3d
180b;85b5
1ab6;5d9a
0e4e;2dd1
0849;9cfd
146c;f05f
0764;4649
11e1;c899
0481;dce5
13f7;23f1
1b8b;ab40
00ad;5601
1eb0;707b
175d;3b94
0d1a;631b
0b39;afa1
1636;b61c
022b;06dd
0eb2;b43a
08c3;ecbe
1260;77ff
017b;84af
1a76;3e8f
1fa6;4d7f
0848;f34d
114d;e4ae
0ce4;e53f
1526;50df
1235;35a2
116d;fde6
004e;9f52
0f23;9fc6
052d;df2d
0aaf;7565
1de8;3ce2
1a80;c3cd
02b0;33aa
1f00;8c1a
0eb1;8da9
0f42;ad6a
02e0;8e63
081d;74cd
114e;163b
0d1d;a0e0
0287;2174
0f39;113d
0958;6c6b
1ba5;4186
01ef;932b
1273;8fa6
1823;309b
1346;9567
162c;5833
1169;5604
1692;e3bc
17cc;958a
1ad2;ff11
0fb5;3fb1
0497;e608
14f4;3f06
1804;2e50
1d0f;096b
1dc3;9824
0d9b;eae5
0500;b940
112b;f811
08b3;ad51
188a;01be
048f;ef5f
07e9;a1ab
051c;2972
1f5b;8a11
1909;f4bb
0909;110b
11db;71a3
0c15;7424
0f04;87be
0118;1681
12c6;7ca0
1c0c;e0c6
0a41;2e11
1b53;ee3a
0394;88d8
1086;c52b
1c55;9cfa
07d0;e515
04ae;7397
1a72;5496
0667;a597
0a0c;82e8
0252;9c9c
1db0;d40f
00ee;eb7d
0986;29a6
0f2d;3ab9
0f00;7bc5
1f21;85e4
0937;d3de
1628;a847
1794;6561
0b88;7503
15b6;1daa
064c;03db
101d;1751
08d9;56b1
0cf6;2e94
05ad;c596
168a;af0e
0cfd;a62e
0014;8e89
1739;12aa
0dea;b560
0d86;8c65
1535;a631
0b9b;3104
04e0;9ddc
147d;7dfd
13a0;a947
1b6f;1463
154a;fed5
1a1e;6397
0946;0cf2
00df;926c
0d65;361c
1995;2b58
170c;99c9
0c55;bf4f
0737;1c80
09c0;ab2c
1163;970e
0971;a4c4
1324;c270
0430;3504
014c;ca74
1a52;9dd5
0066;f4cc
0c7f;5207
1fed;f502
0718;1b2c
1204;7ab1
00be;a94a
0126;15da
1249;77a2
16bd;e6c8
07cc;6c97
01a9;13be
1574;335a
1cba;d2c5
184f;acd0
021b;d64a
06a2;4e07
1a86;2738
136a;0ff6
0360;183c
0b18;bdd1
0cd1;79d3
1da3;87b3
0895;92da
1585;3d75
1705;e00e
1c15;1165
11a4;d533
1019;7134
10bf;f7da
0eff;e405
18f5;15c6
17cb;2da0
1c22;2dae
11b0;d21b
0104;dfc3
07d6;d6f5
162f;a3c8
15c1;e3f3
00d4;4330
167d;8eca
0617;6a83
185f;a525
1893;979d
0005;3a75
1f9f;13d0
19ad;2930
01c3;88c6
06c0;e5e4
18dd;ce58
06c9;4d4c
0b50;412f
05d7;4499
099e;e540
0e03;9b78
0b2f;7357
0d95;191e
0e87;39a6
061b;f2e4
005f;a5b8
144a;507d
0fc0;2b4e
0867;ad03
014b;b101
1bc6;0a74
0356;2d48
0ead;41f6
1ee6;dfb8
0bb3;79df
0620;188f
13e8;87e1
198f;6f0c
0be1;0253
0493;28c0
14a0;2d3c
0ff6;9e55
09d5;ab63
0a1c;7313
19de;c217
1ea7;e49a
1997;b8c7
1a4a;030d
1aae;3188
1391;ea94
1fb2;904c
1723;a70f
1d0b;b0e1
0851;8532
0498;c2c6
0fbe;e002
0f0b;9e0f
087f;66c3
07d7;11b6
1c5d;de85
1b2d;6849
0dae;a5f8
199c;7d03
19bc;6e4b
039b;0990
1d88;0908
0579;2150
0760;05f0
1cca;9bee
1097;ba67
0542;7893
092c;562d
117c;cb94
1e51;02a2
18e4;a09c
1462;c7d7
035d;e919
0fc1;a378
131f;4e40
1074;ec80
0477;950f
1ed5;0f0e
056c;3c69
173c;8819
0dc5;c9a6
1d92;8ab7
0ba6;a4ca
1355;98e2
13a8;a14e
1866;910a
11d9;13c5
0aee;9fbf
05bf;ffb4
1bb0;8f3e
07f8;990c
0dbc;705a
10d8;84b2
1be9;4c46
1054;d069
00bf;58b3
1377;78e5
0255;bc82
178a;d574
075a;e40b
1b1c;b98f
1276;9b05
1f44;1824
1bf7;02ac
0f47;2593
19da;816b
1201;c4da
1b6d;d9af
056e;a653
0275;e389
0bff;f57f
0ef8;b59f
0c0a;5061
1713;edb3
1a3d;5d6c
0f29;73eb
049a;832f
0d41;69f6
0265;4829
1716;ed69
0d31;340f
0e0d;8bf9
02f7;0ac7
0431;9b7f
1776;1dff
034b;ff13
0ab6;0e69
1b04;f2d8
1384;9882
172c;a2c1
0082;553b
1496;f882
0305;7be4
0bc9;21ee
0d57;2882
0eed;cb37
0a30;0264
0b1d;ef0a
09f5;109a
03eb;f8fa
0508;69e8
0f81;603c
1a1c;a196
1c4c;561d
0a4d;d25a
0285;23eb
0a3d;f3c9
0e55;21d8
1d4a;b4f9
1ed8;2514
1719;eb6f
0790;13be
1b88;570e
18d1;3d7a
1a35;b52e
1761;a0cd
0db5;7ba6
1dd8;ecf2
1d1d;3977
07ab;dece
0719;3566
0bb8;9ca7
0348;9f82
0456;648d
0c5a;6418
0d16;859d
1908;cefc
060c;f7df
1db2;ac93
125a;a9ed
1944;18c0
1ebf;05d0
152f;35b3
1bff;7969
102a;fd77
073a;151a
0a25;556d
1ece;3281
0bd7;e084
1912;a05e
098f;9453
0deb;8187
198b;db85
17f7;ba1c
0955;daea
02ab;3112
0aa3;af94
1190;ff57
1cd4;b2e6
045b;fc30
192d;965b
04cb;a07f
0488;5fc6
195d;93a8
08be;4f64
13a9;a04c
0494;2c7b
0db3;4cc0
1dee;3f83
03fa;3318
0cfa;6aae
1191;dbcd
047e;4840
0832;2e12
0e1d;7d0b
13e1;5289
0fcd;3eb9
1919;30a3
1faf;5dfb
0a62;5ae9
1c78;515b
1ef4;6c59
177e;7ca0
1dcc;2177
139a;5734
0c06;bfdb
04cf;c9cd
0425;ee0b
0179;5cb4
11b1;1ace
1b1a;d4ba
0a2f;aa95
08b0;2382
142a;f12e
1545;5472
1383;c649
14a9;1c84
1269;592b
017e;eae8
169c;cc3b
1d39;85ac
1f60;633b
13a4;effc
02a8;0995
1e17;99ab
0d98;2ec8
0300;3988
0777;5e58
0e6c;11d1
1035;4c9b
1f06;c3b1
1abc;dd4d
07b3;4c74
018a;9184
093a;901e
0f58;87e4
0141;f75c
13af;f876
08f0;b5ad
1e36;cc29
0f41;d034
195b;9635
0205;7c29
0f09;8b42
11ba;e3c9
1541;c294
022f;7581
0b7d;3fe8
09b2;95db
0dac;2031
0547;62e1
001e;b5fd
0f52;0dfa
0abc;0ec0
06df;0f0b
187d;c8ee
091c;ac7c
0a1f;bb75
1850;df20
0c62;1c11
08b6;8a39
1853;6715
10c7;697e
071d;ed7a
1ab1;abc1
0ba8;9ed9
0749;d51a
1576;ad07
062a;8a33
0099;49df
1573;7080
000d;9e14
07a6;660d
14bb;9af4
1c6d;8ba1
005c;c897
0929;f8d5
171f;017b
0f72;2092
1146;862d
1b9f;bc5d
1432;f6ca
0c53;e7d4
0f9b;6111
186e;2547
172f;e41d
0ac1;51e1
1b60;12f1
05df;4fd0
01ce;43cc
16cd;6e91
1d9c;5c40
0e81;b1a2
026a;97ea
00c5;a224
1991;512d
0838;c39a
160f;579e
11dc;8ab8
1ff8;321b
0ea3;a69e
1118;2b1a
035b;d2c9
0921;8ccf
1a43;7b86
0ec3;617b
0ba9;2f9b
16d9;f12c
05b9;b68a
173e;9468
1161;af7b
0f01;3ed2
1040;e44a
06c2;5e1f
0256;2fd4
0b6f;bc6e
0ced;6616
0040;872b
08b8;7a60
0ba2;7bfb
0fcf;1ceb
192a;341e
0ce8;9a12
15e6;2a45
15d5;9e02
0ad4;a032
0c21;1a9e
1f38;e2c7
0e2a;b850
1d80;6ad7
03ed;d3f2
07cb;f465
1aef;0f6f
16bf;1670
1ac9;7d82
0de6;7982
1a31;08cd
074c;661c
00ec;675a
00e2;63fd
0843;4853
10dc;1f26
0a3b;41c5
0248;e028
0130;5ce9
004f;cb48
0278;bc9c
0acb;8588
19f7;e409
0e58;e497
0ca4;1e18
10c4;a732
1ad0;388f
18fa;e26b
1eb4;a00a
0863;c855
06b6;39b1
0671;4973
1793;c90b
098b;9695
070e;2125
0abb;93d5
015a;d490
0989;0e0a
05c0;b2bb
1224;7484
1d73;af25
190d;e5c2
12ec;6647
1ae6;7489
0294;3795
050b;a0ca
17bc;bafc
0e3e;b572
0b2a;ae0f
0f4b;f522
064f;0e0e
1d68;7650
02f6;9fb2
1c07;e1cd
08c7;d0f9
12f5;9735
14d8;997e
0f08;0832
1d0e;647e
05fd;f3fb
0392;ef82
0943;fc6b
0326;ab23
0b5f;8c1d
1afc;70dd
0de5;32f6
1a79;4082
1d6d;c86e
1bad;0e53
1415;9997
03b7;4eca
043d;f640
1db3;c1e4
046e;59ed
040e;f73e
109f;58cf
07b6;651a
050c;a09e
0448;8ce9
177d;193f
1cc5;b1b8
1512;0b36
0016;6ff8
1837;39e3
0680;7710
1a41;efcd
158f;07c9
16db;610c
030a;8b7c
078b;5f62
1e99;54df
1ec5;fac3
1e8a;0980
0983;288f
07c1;b575
054a;0589
064d;f645
1bd9;aaed
1b5e;c1eb
0bd4;638e
023e;6068
0072;7bf2
0b58;33b7
1064;9116
0e39;a16f
0d0c;5750
0428;babe
0756;2c61
1968;4f32
169f;17c0
155d;c038
1a9b;835f
031a;1367
039d;1891
1cfa;6f6b
127d;585c
11b8;f9af
0b3e;1ca4
0561;395c
19fb;c718
0261;b1fc
0ed3;5692
1948;a107
03fc;6609
0b3d;9b89
1fe4;9eec
11ee;dca4
0f5f;2ed7
0b84;8204
1e2a;f76d
0966;1bd5
0381;31b4
0e8a;351b
17ce;800d
1f22;6a66
0ce6;bc3b
0174;7a8a
15fb;e246
1a82;232a
1bfc;b5b5
01e4;92bd
17ad;cf9e
1600;242e
0f77;22bb
160c;6758
18c4;c081
01e1;37fe
1949;9f8c
0ca5;8810
1b08;85ed
1187;66da
09a3;70b4
0106;51dd
0d46;f58e
1e85;6d3a
1e5c;1151
0f54;fb6c
1819;2c17
02a9;ac05
0f8e;4d8a
08ad;7ae8
0f22;615f
0522;c38e
0c65;5823
1c30;a4b1
0bc4;3b20
1e82;33f0
0991;e82a
0b52;356e
0d9e;0e66
1922;836b
11f8;5d66
058d;5c5e
0e2d;8c3e
0e42;5a91
03ea;a3bd
0f1d;0124
1a25;227c
1612;e84e
1785;e77e
1116;fc06
1360;061a
0df4;2e91
1109;aee1
11fc;3c2b
1060;65e6
1329;cb2d
1025;e9da
0c86;28b6
0a71;0d96
0eaf;e668
04db;77a0
0f8a;97e6
1134;f9af
1d13;8b81
123d;2a08
1c16;7ac6
1ab2;a0e5
19b7;4991
197e;779e
112c;a24b
0225;0b4a
1a00;6522
0804;24f1
1ebb;523f
0154;2124
161c;3f25
0d28;145b
0c39;8254
1213;dbdd
036d;a90c
0535;1d7c
